ts,time,wall_time,mp_count.O+,real_count.O+,px.O+,py.O+,pz.O+,KE.O+,mp_count.e-,real_count.e-,px.e-,py.e-,pz.e-,KE.e-,PE,total_E
0,2e-09,32.2736394405365,9261,800000000.0000001,0.0,0.0,0.0,0.0,68921,100000000.00000001,0.0,0.0,0.0,0.0,7.686057988450587e-11,7.686057988450587e-11
10,2.2000000000000005e-08,97.7346498966217,9261,800000000.0000001,0.0,0.0,0.0,3.354175793252801e-16,68921,100000000.00000001,0.0,0.0,0.0,5.493949322427139e-13,7.686059001621702e-11,7.741032036603905e-11
20,4.2e-08,153.66970086097717,9261,800000000.0000001,0.0,0.0,0.0,1.3416703285348164e-15,68921,100000000.00000001,0.0,0.0,0.0,2.1975797646263407e-12,7.686059001621898e-11,7.905951145117386e-11
30,6.199999999999999e-08,214.60149717330933,9261,800000000.0000001,0.0,0.0,0.0,3.018758247628615e-15,68921,100000000.00000001,0.0,0.0,0.0,4.944554497150997e-12,7.686059001621898e-11,8.180816327161761e-11
40,8.200000000000003e-08,274.36545491218567,9261,800000000.0000001,0.0,0.0,0.0,5.366681336606658e-15,68921,100000000.00000001,0.0,0.0,0.0,8.790319129816426e-12,7.686059001621898e-11,8.565627582737201e-11
50,1.0200000000000008e-07,331.95371079444885,9261,800000000.0000001,0.0,0.0,0.0,8.385439595469001e-15,68921,100000000.00000001,0.0,0.0,0.0,1.373487366262313e-11,7.686059001621898e-11,9.060384911843758e-11
60,1.220000000000001e-07,391.53257989883423,9261,800000000.0000001,0.0,0.0,0.0,1.2075033024215624e-14,68921,100000000.00000001,0.0,0.0,0.0,1.9778218095570565e-11,7.686059001621898e-11,9.665088314481376e-11
70,1.4200000000000003e-07,449.8131000995636,9261,800000000.0000001,0.0,0.0,0.0,1.6435461622846542e-14,68921,100000000.00000001,0.0,0.0,0.0,2.6920352428658964e-11,7.686059001621898e-11,1.037973779065008e-10
80,1.6199999999999994e-07,507.7044003009796,9261,800000000.0000001,0.0,0.0,0.0,2.146672539136163e-14,68921,100000000.00000001,0.0,0.0,0.0,3.5161276661888127e-11,7.686059001621898e-11,1.1204333340349847e-10
90,1.8199999999999986e-07,565.1305162906647,9261,800000000.0000001,0.0,0.0,0.0,2.7168824329760957e-14,68921,100000000.00000001,0.0,0.0,0.0,4.4500990795258056e-11,7.686059001621898e-11,1.213887496358068e-10
99,1.9999999999999978e-07,616.7495982646942,9261,800000000.0000001,0.0,0.0,0.0,3.2874277444571704e-14,68921,100000000.00000001,0.0,0.0,0.0,5.3846198879912016e-11,7.686059001621898e-11,1.3073966317357555e-10
