ts,time,wall_time,mp_count.O+,real_count.O+,px.O+,py.O+,pz.O+,KE.O+,mp_count.e-,real_count.e-,px.e-,py.e-,pz.e-,KE.e-,PE,total_E
10,2.0000000000000004e-08,118.1258749961853,9261,800000000.0000001,0.0,0.0,0.0,2.7168823874796223e-16,68921,100000000.00000001,0.0,0.0,0.0,4.4500989351211e-13,7.68605900162096e-11,7.730587159796045e-11
20,4e-08,220.67703795433044,9261,800000000.0000001,0.0,0.0,0.0,1.2108574709690726e-15,68921,100000000.00000001,0.0,0.0,0.0,1.9833157358816672e-12,7.686059001621898e-11,7.884511660957161e-11
30,5.999999999999998e-08,313.2955720424652,9261,800000000.0000001,0.0,0.0,0.0,2.8208618730744745e-15,68921,100000000.00000001,0.0,0.0,0.0,4.620411478392217e-12,7.686059001621898e-11,8.148382235648427e-11
40,8.000000000000003e-08,397.6767907142639,9261,800000000.0000001,0.0,0.0,0.0,5.101701445064056e-15,68921,100000000.00000001,0.0,0.0,0.0,8.356297121043606e-12,7.686059001621898e-11,8.522198883870765e-11
50,1.0000000000000007e-07,483.597678899765,9261,800000000.0000001,0.0,0.0,0.0,8.053376186937996e-15,68921,100000000.00000001,0.0,0.0,0.0,1.3190972663836027e-11,7.686059001621898e-11,9.005961605624194e-11
60,1.2000000000000012e-07,578.3814404010773,9261,800000000.0000001,0.0,0.0,0.0,1.167588609869614e-14,68921,100000000.00000001,0.0,0.0,0.0,1.9124438106769414e-11,7.686059001621898e-11,9.599670400908708e-11
70,1.4000000000000004e-07,668.7630116939545,9261,800000000.0000001,0.0,0.0,0.0,1.5969231180338604e-14,68921,100000000.00000001,0.0,0.0,0.0,2.6156693449843194e-11,7.686059001621898e-11,1.0303325269724251e-10
80,1.5999999999999995e-07,761.6638512611389,9261,800000000.0000001,0.0,0.0,0.0,2.0933411431865153e-14,68921,100000000.00000001,0.0,0.0,0.0,3.428773869305956e-11,7.686059001621898e-11,1.111692621207104e-10
90,1.7999999999999986e-07,848.5201256275177,9261,800000000.0000001,0.0,0.0,0.0,2.656842685327621e-14,68921,100000000.00000001,0.0,0.0,0.0,4.351757383641452e-11,7.686059001621898e-11,1.204047322794868e-10
100,1.9999999999999978e-07,938.9357051849365,9261,800000000.0000001,0.0,0.0,0.0,3.2874277444571704e-14,68921,100000000.00000001,0.0,0.0,0.0,5.3846198879912016e-11,7.686059001621898e-11,1.3073966317357555e-10
110,2.199999999999997e-07,1058.854867219925,9261,800000000.0000001,0.0,0.0,0.0,3.985096320575106e-14,68921,100000000.00000001,0.0,0.0,0.0,6.527361382355016e-11,7.686059001621898e-11,1.421740548029749e-10
120,2.399999999999996e-07,1145.0080089569092,9261,800000000.0000001,0.0,0.0,0.0,4.749848413681473e-14,68921,100000000.00000001,0.0,0.0,0.0,7.779981866732825e-11,7.686059001621898e-11,1.5470790716768403e-10
