ts,time,wall_time,mp_count.O+,real_count.O+,px.O+,py.O+,pz.O+,KE.O+,PE,total_E
1,1e-07,129.79877829551697,0,0,0.0,0.0,0.0,0.0,1.1669023606704755e-08,1.1669023606704755e-08
2,2e-07,130.31818914413452,0,0,0.0,0.0,0.0,0.0,1.1669023607434872e-08,1.1669023607434872e-08
3,3e-07,131.01979780197144,0,0,0.0,0.0,0.0,0.0,1.16690236081546e-08,1.16690236081546e-08
4,4e-07,131.82768869400024,0,0,0.0,0.0,0.0,0.0,1.1669023608864055e-08,1.1669023608864055e-08
5,5e-07,132.54626274108887,0,0,0.0,0.0,0.0,0.0,1.1669023609563595e-08,1.1669023609563595e-08
6,6e-07,133.3197159767151,0,0,0.0,0.0,0.0,0.0,1.1669023610253184e-08,1.1669023610253184e-08
7,7e-07,133.99648547172546,0,0,0.0,0.0,0.0,0.0,1.166902361093291e-08,1.166902361093291e-08
8,8e-07,134.67109632492065,0,0,0.0,0.0,0.0,0.0,1.166902361160311e-08,1.166902361160311e-08
9,9e-07,135.26237797737122,0,0,0.0,0.0,0.0,0.0,1.166902361226373e-08,1.166902361226373e-08
10,1e-06,135.8052146434784,0,0,0.0,0.0,0.0,0.0,1.1669023612915048e-08,1.1669023612915048e-08
11,1.1e-06,136.3390166759491,0,0,0.0,0.0,0.0,0.0,1.1669023613557091e-08,1.1669023613557091e-08
12,1.2e-06,136.87313532829285,0,0,0.0,0.0,0.0,0.0,1.1669023614190084e-08,1.1669023614190084e-08
13,1.2999999999999998e-06,137.35375571250916,0,0,0.0,0.0,0.0,0.0,1.1669023614814123e-08,1.1669023614814123e-08
14,1.3999999999999997e-06,137.86225962638855,0,0,0.0,0.0,0.0,0.0,1.166902361542932e-08,1.166902361542932e-08
15,1.4999999999999996e-06,138.38224959373474,0,0,0.0,0.0,0.0,0.0,1.166902361603575e-08,1.166902361603575e-08
16,1.5999999999999995e-06,139.13974952697754,0,0,0.0,0.0,0.0,0.0,1.1669023616633678e-08,1.1669023616633678e-08
17,1.6999999999999994e-06,139.72081780433655,0,0,0.0,0.0,0.0,0.0,1.1669023617223013e-08,1.1669023617223013e-08
18,1.7999999999999993e-06,140.25630068778992,0,0,0.0,0.0,0.0,0.0,1.1669023617804096e-08,1.1669023617804096e-08
19,1.8999999999999992e-06,140.7628722190857,0,0,0.0,0.0,0.0,0.0,1.1669023618376846e-08,1.1669023618376846e-08
20,1.999999999999999e-06,141.25128650665283,0,0,0.0,0.0,0.0,0.0,1.1669023618941585e-08,1.1669023618941585e-08
21,2.099999999999999e-06,142.06385803222656,0,0,0.0,0.0,0.0,0.0,1.1669023619498349e-08,1.1669023619498349e-08
22,2.199999999999999e-06,142.58821511268616,0,0,0.0,0.0,0.0,0.0,1.1669023620047089e-08,1.1669023620047089e-08
