ts,time,wall_time,mp_count.O+,real_count.O+,px.O+,py.O+,pz.O+,KE.O+,mp_count.e-,real_count.e-,px.e-,py.e-,pz.e-,KE.e-,PE,total_E
0,2e-09,0.0635146,68921,8e+08,0,0,0,0,9261,1e+08,0,0,0,0,7.68601e-11,7.68601e-11
1,4e-09,0.211654,68921,8e+08,2.94241e-19,2.94241e-19,2.94241e-19,3.30297e-18,9261,1e+08,4.61092e-19,4.61092e-19,4.61092e-19,5.50812e-15,7.68493e-11,7.68548e-11
2,6e-09,0.24887,68921,8e+08,3.04118e-19,3.04118e-19,3.04118e-19,1.25778e-17,9261,1e+08,9.22171e-19,9.22171e-19,9.22171e-19,2.20265e-14,7.68275e-11,7.68496e-11
3,8e-09,0.281326,68921,8e+08,3.21746e-19,3.21746e-19,3.21746e-19,2.8455e-17,9261,1e+08,1.38322e-18,1.38322e-18,1.38322e-18,4.9537e-14,7.67949e-11,7.68445e-11
4,1e-08,0.318009,68921,8e+08,8.8462e-19,8.8462e-19,8.8462e-19,5.09256e-17,9261,1e+08,1.84423e-18,1.84423e-18,1.84423e-18,8.80097e-14,7.67515e-11,7.68396e-11
5,1.2e-08,0.356155,68921,8e+08,9.02232e-19,9.02232e-19,9.02232e-19,7.87307e-17,9261,1e+08,2.30519e-18,2.30519e-18,2.30519e-18,1.37402e-13,7.66973e-11,7.68348e-11
6,1.4e-08,0.393745,68921,8e+08,9.12069e-19,9.12069e-19,9.12069e-19,1.13115e-16,9261,1e+08,2.76607e-18,2.76607e-18,2.76607e-18,1.97662e-13,7.66323e-11,7.68301e-11
7,1.6e-08,0.426437,68921,8e+08,9.28767e-19,9.28767e-19,9.28767e-19,1.54072e-16,9261,1e+08,3.22686e-18,3.22686e-18,3.22686e-18,2.68721e-13,7.65566e-11,7.68254e-11
8,1.8e-08,0.462724,68921,8e+08,9.40341e-19,9.40341e-19,9.40341e-19,2.01586e-16,9261,1e+08,3.68755e-18,3.68755e-18,3.68755e-18,3.50504e-13,7.64701e-11,7.68208e-11
9,2e-08,0.498491,68921,8e+08,1.78481e-18,1.78481e-18,1.78481e-18,2.55646e-16,9261,1e+08,4.14812e-18,4.14812e-18,4.14812e-18,4.4292e-13,7.6373e-11,7.68161e-11
10,2.2e-08,0.553341,68921,8e+08,1.79456e-18,1.79456e-18,1.79456e-18,3.14357e-16,9261,1e+08,4.60854e-18,4.60854e-18,4.60854e-18,5.45869e-13,7.62652e-11,7.68114e-11
11,2.4e-08,0.702745,68921,8e+08,1.81009e-18,1.81009e-18,1.81009e-18,3.79584e-16,9261,1e+08,5.06881e-18,5.06881e-18,5.06881e-18,6.5924e-13,7.6147e-11,7.68066e-11
12,2.6e-08,0.740193,68921,8e+08,1.82195e-18,1.82195e-18,1.82195e-18,4.51303e-16,9261,1e+08,5.52888e-18,5.52888e-18,5.52888e-18,7.82908e-13,7.60182e-11,7.68015e-11
13,2.8e-08,0.783314,68921,8e+08,1.84008e-18,1.84008e-18,1.84008e-18,5.29494e-16,9261,1e+08,5.98875e-18,5.98875e-18,5.98875e-18,9.16739e-13,7.5879e-11,7.67962e-11
14,3e-08,0.823155,68921,8e+08,1.8497e-18,1.8497e-18,1.8497e-18,6.14132e-16,9261,1e+08,6.44838e-18,6.44838e-18,6.44838e-18,1.06059e-12,7.57294e-11,7.67906e-11
15,3.2e-08,0.862652,68921,8e+08,1.86417e-18,1.86417e-18,1.86417e-18,7.05195e-16,9261,1e+08,6.90775e-18,6.90775e-18,6.90775e-18,1.2143e-12,7.55703e-11,7.67853e-11
16,3.4e-08,0.90948,68921,8e+08,2.97288e-18,2.97288e-18,2.97288e-18,8.02656e-16,9261,1e+08,7.36682e-18,7.36682e-18,7.36682e-18,1.3777e-12,7.54023e-11,7.67808e-11
17,3.6e-08,0.947421,68921,8e+08,2.99048e-18,2.99048e-18,2.99048e-18,9.04015e-16,9261,1e+08,7.82556e-18,7.82556e-18,7.82556e-18,1.55061e-12,7.52258e-11,7.67773e-11
18,3.8e-08,0.988205,68921,8e+08,2.99984e-18,2.99984e-18,2.99984e-18,1.01171e-15,9261,1e+08,8.28392e-18,8.28392e-18,8.28392e-18,1.73283e-12,7.5041e-11,7.67748e-11
19,4e-08,1.04272,68921,8e+08,3.01386e-18,3.01386e-18,3.01386e-18,1.12573e-15,9261,1e+08,8.74184e-18,8.74184e-18,8.74184e-18,1.92415e-12,7.4848e-11,7.67733e-11
